[Tue Apr 25 21:40:40.873808 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:41.662063 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:41.873773 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:42.683265 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:42.873584 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:43.701729 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:43.872213 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:44.725122 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:44.871816 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:45.750745 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:45.874458 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:46.769155 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:46.873677 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:47.784310 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
